ticker,setup_state,score,last_close,resistance,breakout_pct,breakout_days_ago,pivot_touch_count,resistance_flatness_pct,low_slope_pct_per_day,swing_low_count,ascending_triangle,bb_width_pctile,min_bb_width_pctile_20d,squeeze_recent,breakout_volume_ratio,volume_confirmed,last_complete_week_return_pct,close_vs_52w_high_pct,above_sma50,above_sma200,avg_dollar_volume_20d_m,notes
SHY,testing_resistance,65.0,81.42,81.5,-0.09,,6,0.51,0.0049,7,False,53.2,23.0,True,,False,0.05,-0.53,False,True,311.68,6 separated pivot resistance touches; flat pivot resistance; slightly rising lows; ascending triangle not fully confirmed; recent volatility compression; testing resistance before breakout; below SMA50; near/new 52-week high
EWG,testing_resistance,65.0,42.62,43.03,-0.95,9.0,7,2.58,0.009,12,False,25.0,1.6,True,0.45,False,-1.57,-4.97,False,True,34.88,7 separated pivot resistance touches; flat pivot resistance; slightly rising lows; ascending triangle not fully confirmed; current volatility squeeze; testing resistance before breakout; below SMA50
VB,testing_resistance,65.0,291.18,295.11,-1.33,9.0,3,3.18,0.0792,4,True,64.7,6.3,True,1.66,True,-0.25,-5.92,False,True,138.2,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; testing resistance before breakout; below SMA50
SCHD,fresh_breakout,64.7,33.99,32.59,4.29,9.0,5,6.35,0.0615,6,False,49.2,35.3,False,1.17,False,-0.29,-3.74,True,True,805.5,5 separated pivot resistance touches; messy resistance; rising swing lows; ascending triangle not fully confirmed; fresh breakout; breakout lacks volume confirmation
XLB,below_resistance,64.0,50.76,53.21,-4.61,,6,2.12,0.0464,9,True,34.5,13.1,True,,False,-1.39,-6.33,False,True,572.59,6 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; below SMA50
CALF,extended_breakout,63.0,55.54,51.06,8.78,9.0,3,3.2,0.1165,3,True,36.5,19.0,True,1.64,True,-0.38,-4.8,True,True,36.28,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; breakout already extended
XLV,fresh_breakout,62.0,165.66,158.38,4.59,9.0,4,1.05,0.0206,9,True,67.9,57.5,False,0.72,False,0.17,-6.19,False,True,1317.08,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; fresh breakout; breakout lacks volume confirmation; below SMA50
IJS,below_resistance,61.0,133.9,138.6,-3.39,,5,3.58,0.0632,3,True,36.5,0.4,True,,False,0.01,-5.16,False,True,22.56,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; below SMA50
XLRE,below_resistance,61.0,43.05,44.92,-4.17,,6,2.35,0.0401,6,True,74.2,12.3,True,,False,-1.24,-7.33,False,True,228.47,6 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; below SMA50
KIE,below_resistance,61.0,62.25,65.2,-4.52,,3,2.47,0.0196,12,True,21.0,2.0,True,,False,-0.02,-6.43,False,True,66.0,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; below SMA50
IJR,below_resistance,61.0,141.44,149.35,-5.3,,5,3.77,0.0792,12,True,66.3,10.7,True,,False,-0.16,-6.14,False,True,368.78,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; below SMA50
IBB,extended_breakout,60.0,202.64,178.36,13.61,9.0,4,1.2,0.0529,8,True,77.4,73.4,False,0.78,False,1.42,-6.67,True,True,322.94,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; breakout already extended
VDE,fresh_breakout,59.0,182.95,169.9,7.68,9.0,4,4.16,-0.1013,4,False,30.6,30.6,True,0.49,False,2.28,-1.76,True,True,84.67,4 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; current volatility compression; fresh breakout; breakout lacks volume confirmation; near/new 52-week high; healthy last complete week momentum
VFH,fresh_breakout,58.0,138.91,132.11,5.15,9.0,3,2.71,0.0082,12,False,25.0,1.2,True,0.9,False,0.04,-3.0,False,True,72.11,3 separated pivot resistance touches; flat pivot resistance; slightly rising lows; ascending triangle not fully confirmed; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; below SMA50
VHT,testing_resistance,58.0,311.27,311.67,-0.13,9.0,3,2.34,0.0121,12,True,67.9,56.7,False,0.7,False,0.22,-5.89,False,True,67.37,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; testing resistance before breakout; below SMA50
KBE,below_resistance,57.0,67.96,71.59,-5.07,,4,2.78,0.1123,3,True,49.2,8.7,True,,False,1.29,-5.51,False,True,83.66,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; below SMA50
KRE,below_resistance,57.0,73.81,78.17,-5.58,,4,1.93,0.105,3,True,46.4,5.6,True,,False,1.31,-5.79,False,True,880.76,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; below SMA50
IYT,below_resistance,57.0,82.03,88.23,-7.02,,4,2.47,0.0702,12,True,75.0,1.6,True,,False,-2.57,-8.92,False,True,44.87,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; below SMA50
DIA,testing_resistance,57.0,520.75,527.34,-1.25,9.0,2,3.07,0.063,3,False,29.4,2.0,True,0.64,False,-0.18,-4.68,False,True,1617.73,only 2 pivot resistance touch(es); flat pivot resistance; rising swing lows; ascending triangle not fully confirmed; current volatility compression; testing resistance before breakout; below SMA50
SKYY,extended_breakout,56.0,156.61,138.67,12.94,9.0,3,1.5,0.0085,12,False,23.0,15.9,True,1.07,False,-2.17,-7.36,True,True,39.51,3 separated pivot resistance touches; flat pivot resistance; slightly rising lows; ascending triangle not fully confirmed; current volatility squeeze; breakout already extended
JEPQ,testing_resistance,55.0,59.3,59.58,-0.47,,3,1.88,-0.0241,5,False,2.0,0.4,True,,False,0.68,-1.25,True,True,331.34,3 separated pivot resistance touches; flat pivot resistance; falling/non-rising lows; ascending triangle not fully confirmed; current volatility squeeze; testing resistance before breakout; near/new 52-week high
MDY,below_resistance,54.0,673.25,695.26,-3.17,,7,4.37,0.0617,7,True,78.6,36.5,False,,False,0.14,-6.15,False,True,335.37,7 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; below SMA50
